# Case,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_240_-10,0.03608426740000002,0.028066209233999998,0.19214956780400005,-0.004565239149799999,0.015399527000039999,-0.0017199038680000005
0_300_0,0.004251575878,-0.00627639504,0.38567595774799995,-0.007704955645400002,0.028811742056800007,0.0003358044239999999
10_300_5,0.06768128836000002,-0.03666905526,0.3460671935399999,-0.006885105157399999,0.024305741530999993,0.0035000789779999998
5_360_5,0.2287184692004,-0.18834802104,2.1253519310400004,-0.0331005203442,0.13121645862800002,0.013219992553999995
0_300_-5,0.004831379890000001,0.031596479680000004,0.410713541206,-0.007837787009800002,0.030578862045799994,-0.0022971880240000007
10_180_-10,0.024656429710000007,0.019518788404000002,0.129686016626,-0.0028480116,0.009834819691460002,-0.0010896170203999996
5_420_0,0.4131774745740001,0.017473788166,4.09626145066,-0.0611083742296,0.26075668904000004,0.0035435005339999994
5_180_0,0.011711703181999999,-0.0022359817760000005,0.11634400441000001,-0.0024481283708,0.008655481530000002,0.00027219592659999994
0_180_-10,0.001195353208,0.020115366420000003,0.12586777030000001,-0.0024799399733399998,0.009749046837673121,-0.0016044551276000003
5_300_5,0.03626540505999999,-0.032984333000000005,0.34888558763599997,-0.0072690423978,0.025070760545000004,0.0028955930620000003
0_420_-5,0.03661937412,0.31295459062000003,3.2892960590800007,-0.04800898082420001,0.21895980274380006,-0.020209575645999997
10_180_-5,0.023524424204000003,0.007731170690000001,0.123748027002,-0.0026049318397999995,0.009257539928400003,-0.00021449728520000003
10_420_0,0.8769043873960004,0.018107397086,4.531302563120001,-0.066380955088,0.27720073254200006,0.010016439399999997
0_420_5,0.036418053039999995,-0.32012130361999996,3.5705476496600017,-0.05601727268719999,0.23376415485599994,0.019349244475999998
10_360_0,0.46080806471200003,0.004420412600000001,2.2775466311999994,-0.0337951861582,0.1359140577364,0.005733131834
5_240_5,0.014701732340000002,-0.014422599028,0.15296970957199998,-0.0036244185560000003,0.012125747118999998,0.0013179434040000001
10_300_-5,0.07785077543999999,0.028056406308,0.4015094249399999,-0.0080824379464,0.028980408250000003,-0.000719946324
0_360_-10,0.02866760616,0.38820651357999997,2.11370122142,-0.030198779388200005,0.1406620282516,-0.025314848762000006
10_420_5,0.8374564869059999,-0.3763319098200001,4.316181181039999,-0.06267143154600002,0.26032346281400004,0.03173517001600001
5_360_-10,0.23451643392199997,0.43739694782859995,2.2361714434800004,-0.03438263935,0.14296356372279995,-0.02424012245
5_420_-5,0.4205571928040001,0.40486994191400005,4.180129210519999,-0.06197241936399999,0.2685153413160001,-0.020207713559999993
10_240_5,0.028118017499999995,-0.014641863226000001,0.15251847502000002,-0.003472530868200001,0.012041747100599994,0.001593559353999999
0_180_5,0.0011884389660000005,-0.01083773842,0.110149066804,-0.00239922518604,0.0083855110804,0.0007381305860000001
0_240_5,0.0015071609720000005,-0.015509053312,0.160292134022,-0.0038129658235999996,0.012826074961399998,0.001084086774
10_180_0,0.02221397431,-0.002308115658,0.11604223208,-0.002391541590400001,0.0084871350884,0.0005080259937999998
0_420_-10,0.03469090884,0.6434704918799999,3.4929473262599995,-0.04910718844840001,0.23574639409500006,-0.04258775342600001
10_300_-10,0.08034301715999999,0.063185104208,0.4113791494399999,-0.0088183091326,0.03073201127428,-0.0034371504879999993
5_300_0,0.03789820084,-0.006413872879999999,0.36098923392600013,-0.0074719219548,0.026563196217600008,0.0008925480159999999
10_360_-10,0.452579918224,0.44308833037676004,2.2471779817199997,-0.036245823669200004,0.13888307163520003,-0.0196838257166
10_420_-5,0.8049954607926803,0.41073489518420003,4.109366901519999,-0.062318939832800006,0.254549325462,-0.013678475778
5_180_-5,0.012265440447999997,0.008171702872000003,0.12323309740200003,-0.0025738982115999995,0.009249161796199999,-0.0004842877145999998
0_420_0,0.035486928800000005,-0.007957241040000004,3.5782642188200002,-0.05280786409159999,0.23557986082399998,0.00027023454800000003
5_420_5,0.364107163984,-0.30636143900000007,3.523655158680001,-0.05438458164860001,0.22258483191800005,0.022186822158000007
0_360_-5,0.028657029320000003,0.20771360683999995,2.2376100206800005,-0.0328453289016,0.14759643210680004,-0.013253738665999997
10_360_-5,0.40546825449999996,0.1867627060906,2.0055252395000003,-0.0310903186692,0.1231057393418,-0.005384227076000001
5_300_-10,0.04138637096000002,0.07235459465600001,0.41511579982400004,-0.008284089576599998,0.030724109554359984,-0.004569398826
5_240_0,0.016629499694000002,-0.0022997643859999995,0.168813635612,-0.003883675394200001,0.0133191114604,0.000338454786
0_360_5,0.027555557019999996,-0.19410676218,2.1398831752000005,-0.0337236852778,0.13744695330599999,0.011548750630000004
5_420_-10,0.3351444358639999,0.650382686294,3.3004333678200006,-0.050799637045800004,0.21410495051399997,-0.03663963245
0_300_5,0.004777543299999999,-0.03493392884,0.35632018606400007,-0.007476329500200001,0.026354671158999986,0.0024664264619999998
0_180_0,0.0011851744979999997,-0.002275199342,0.11698767852599995,-0.0024334668564800007,0.0089292652066,8.8821086e-05
5_240_-5,0.017947679837999997,0.012204480584000003,0.18317925633199997,-0.004157046673,0.014484796312799999,-0.0008027851140000001
10_300_0,0.07405018772,-0.004638727813999999,0.38221957744,-0.007530593682000001,0.027487097390600013,0.0015299048760000005
5_180_5,0.010512417453999997,-0.009809891908,0.10570469053000002,-0.0022880835984,0.007870187017399999,0.0008563482779999997
0_180_-5,0.0012969896219999998,0.008299383274,0.12224712918400002,-0.00247782724052,0.00937115699632,-0.0006987370515999997
10_420_-10,0.7168600278418001,0.7295464353792002,3.6567761393000002,-0.05861378682119999,0.229608922518,-0.033671197332
0_240_-10,0.0019019528459999994,0.028459621523999994,0.19178378579400004,-0.0041112450119999994,0.015520283635640002,-0.002503048987999999
5_360_-5,0.24510362052799997,0.22635626181800003,2.3330010578,-0.03525429031979999,0.1476877649784,-0.010922508456
0_240_-5,0.0016900063219999991,0.011931714992000004,0.18259232324200003,-0.004013456965480001,0.014725661333599998,-0.0011471353720000001
0_240_0,0.0012884928460000001,-0.004196812898,0.16975233345399998,-0.0038254821488199996,0.013608896417199997,0.0001983032700000001
10_240_0,0.03191163390000001,-0.0032316516880000006,0.16990787179400005,-0.0038479631151999995,0.0133443502844,0.0007426135619999997
10_180_5,0.019666897502000003,-0.00998851945,0.10438338095800002,-0.0021528141921999993,0.0075572498378,0.0010203997639999997
5_300_-5,0.04016360573999998,0.03207267632000001,0.39745447022200003,-0.0078831630056,0.02896520298220001,-0.0015976383540000005
5_240_-10,0.018613026119999997,0.029408338576,0.19308944321399996,-0.004392059210200001,0.015436388282779998,-0.002210492268
0_300_-10,0.0053168593919999995,0.06926299938000001,0.4258556329039999,-0.00798370166908,0.032220900054947994,-0.005228182086
10_360_5,0.43875250241999986,-0.20068811836000003,2.16430018122,-0.031711221473600004,0.126826176764,0.016383006577999997
0_360_0,0.024105058339999985,-0.008165140639999995,2.04442512732,-0.03070762511179999,0.13302626992720004,0.0004962255300000005
5_360_0,0.23869209530600002,0.006021901192000001,2.25822906094,-0.034106264973000004,0.14097121649999994,0.002131635354
5_180_-10,0.012547134799999995,0.020377638594,0.12846707321799997,-0.0026935995264000005,0.00975242168518,-0.0013964503563999998
10_240_-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
# Case,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_240_-10,0.03608426740000002,0.028066209233999998,0.19214956780400005,-0.004565239149799999,0.015399527000039999,-0.0017199038680000005
0_300_0,0.004251575878,-0.00627639504,0.38567595774799995,-0.007704955645400002,0.028811742056800007,0.0003358044239999999
10_300_5,0.06768128836000002,-0.03666905526,0.3460671935399999,-0.006885105157399999,0.024305741530999993,0.0035000789779999998
5_360_5,0.2287184692004,-0.18834802104,2.1253519310400004,-0.0331005203442,0.13121645862800002,0.013219992553999995
0_300_-5,0.004831379890000001,0.031596479680000004,0.410713541206,-0.007837787009800002,0.030578862045799994,-0.0022971880240000007
10_180_-10,0.024656429710000007,0.019518788404000002,0.129686016626,-0.0028480116,0.009834819691460002,-0.0010896170203999996
5_420_0,0.4131774745740001,0.017473788166,4.09626145066,-0.0611083742296,0.26075668904000004,0.0035435005339999994
5_180_0,0.011711703181999999,-0.0022359817760000005,0.11634400441000001,-0.0024481283708,0.008655481530000002,0.00027219592659999994
0_180_-10,0.001195353208,0.020115366420000003,0.12586777030000001,-0.0024799399733399998,0.009749046837673121,-0.0016044551276000003
5_300_5,0.03626540505999999,-0.032984333000000005,0.34888558763599997,-0.0072690423978,0.025070760545000004,0.0028955930620000003
0_420_-5,0.03661937412,0.31295459062000003,3.2892960590800007,-0.04800898082420001,0.21895980274380006,-0.020209575645999997
10_180_-5,0.023524424204000003,0.007731170690000001,0.123748027002,-0.0026049318397999995,0.009257539928400003,-0.00021449728520000003
10_420_0,0.8769043873960004,0.018107397086,4.531302563120001,-0.066380955088,0.27720073254200006,0.010016439399999997
0_420_5,0.036418053039999995,-0.32012130361999996,3.5705476496600017,-0.05601727268719999,0.23376415485599994,0.019349244475999998
10_360_0,0.46080806471200003,0.004420412600000001,2.2775466311999994,-0.0337951861582,0.1359140577364,0.005733131834
5_240_5,0.014701732340000002,-0.014422599028,0.15296970957199998,-0.0036244185560000003,0.012125747118999998,0.0013179434040000001
10_300_-5,0.07785077543999999,0.028056406308,0.4015094249399999,-0.0080824379464,0.028980408250000003,-0.000719946324
0_360_-10,0.02866760616,0.38820651357999997,2.11370122142,-0.030198779388200005,0.1406620282516,-0.025314848762000006
10_420_5,0.8374564869059999,-0.3763319098200001,4.316181181039999,-0.06267143154600002,0.26032346281400004,0.03173517001600001
5_360_-10,0.23451643392199997,0.43739694782859995,2.2361714434800004,-0.03438263935,0.14296356372279995,-0.02424012245
5_420_-5,0.4205571928040001,0.40486994191400005,4.180129210519999,-0.06197241936399999,0.2685153413160001,-0.020207713559999993
10_240_5,0.028118017499999995,-0.014641863226000001,0.15251847502000002,-0.003472530868200001,0.012041747100599994,0.001593559353999999
0_180_5,0.0011884389660000005,-0.01083773842,0.110149066804,-0.00239922518604,0.0083855110804,0.0007381305860000001
0_240_5,0.0015071609720000005,-0.015509053312,0.160292134022,-0.0038129658235999996,0.012826074961399998,0.001084086774
10_180_0,0.02221397431,-0.002308115658,0.11604223208,-0.002391541590400001,0.0084871350884,0.0005080259937999998
0_420_-10,0.03469090884,0.6434704918799999,3.4929473262599995,-0.04910718844840001,0.23574639409500006,-0.04258775342600001
10_300_-10,0.08034301715999999,0.063185104208,0.4113791494399999,-0.0088183091326,0.03073201127428,-0.0034371504879999993
5_300_0,0.03789820084,-0.006413872879999999,0.36098923392600013,-0.0074719219548,0.026563196217600008,0.0008925480159999999
10_360_-10,0.452579918224,0.44308833037676004,2.2471779817199997,-0.036245823669200004,0.13888307163520003,-0.0196838257166
10_420_-5,0.8049954607926803,0.41073489518420003,4.109366901519999,-0.062318939832800006,0.254549325462,-0.013678475778
5_180_-5,0.012265440447999997,0.008171702872000003,0.12323309740200003,-0.0025738982115999995,0.009249161796199999,-0.0004842877145999998
0_420_0,0.035486928800000005,-0.007957241040000004,3.5782642188200002,-0.05280786409159999,0.23557986082399998,0.00027023454800000003
5_420_5,0.364107163984,-0.30636143900000007,3.523655158680001,-0.05438458164860001,0.22258483191800005,0.022186822158000007
0_360_-5,0.028657029320000003,0.20771360683999995,2.2376100206800005,-0.0328453289016,0.14759643210680004,-0.013253738665999997
10_360_-5,0.40546825449999996,0.1867627060906,2.0055252395000003,-0.0310903186692,0.1231057393418,-0.005384227076000001
5_300_-10,0.04138637096000002,0.07235459465600001,0.41511579982400004,-0.008284089576599998,0.030724109554359984,-0.004569398826
5_240_0,0.016629499694000002,-0.0022997643859999995,0.168813635612,-0.003883675394200001,0.0133191114604,0.000338454786
0_360_5,0.027555557019999996,-0.19410676218,2.1398831752000005,-0.0337236852778,0.13744695330599999,0.011548750630000004
5_420_-10,0.3351444358639999,0.650382686294,3.3004333678200006,-0.050799637045800004,0.21410495051399997,-0.03663963245
0_300_5,0.004777543299999999,-0.03493392884,0.35632018606400007,-0.007476329500200001,0.026354671158999986,0.0024664264619999998
0_180_0,0.0011851744979999997,-0.002275199342,0.11698767852599995,-0.0024334668564800007,0.0089292652066,8.8821086e-05
5_240_-5,0.017947679837999997,0.012204480584000003,0.18317925633199997,-0.004157046673,0.014484796312799999,-0.0008027851140000001
10_300_0,0.07405018772,-0.004638727813999999,0.38221957744,-0.007530593682000001,0.027487097390600013,0.0015299048760000005
5_180_5,0.010512417453999997,-0.009809891908,0.10570469053000002,-0.0022880835984,0.007870187017399999,0.0008563482779999997
0_180_-5,0.0012969896219999998,0.008299383274,0.12224712918400002,-0.00247782724052,0.00937115699632,-0.0006987370515999997
10_420_-10,0.7168600278418001,0.7295464353792002,3.6567761393000002,-0.05861378682119999,0.229608922518,-0.033671197332
0_240_-10,0.0019019528459999994,0.028459621523999994,0.19178378579400004,-0.0041112450119999994,0.015520283635640002,-0.002503048987999999
5_360_-5,0.24510362052799997,0.22635626181800003,2.3330010578,-0.03525429031979999,0.1476877649784,-0.010922508456
0_240_-5,0.0016900063219999991,0.011931714992000004,0.18259232324200003,-0.004013456965480001,0.014725661333599998,-0.0011471353720000001
0_240_0,0.0012884928460000001,-0.004196812898,0.16975233345399998,-0.0038254821488199996,0.013608896417199997,0.0001983032700000001
10_240_0,0.03191163390000001,-0.0032316516880000006,0.16990787179400005,-0.0038479631151999995,0.0133443502844,0.0007426135619999997
10_180_5,0.019666897502000003,-0.00998851945,0.10438338095800002,-0.0021528141921999993,0.0075572498378,0.0010203997639999997
5_300_-5,0.04016360573999998,0.03207267632000001,0.39745447022200003,-0.0078831630056,0.02896520298220001,-0.0015976383540000005
5_240_-10,0.018613026119999997,0.029408338576,0.19308944321399996,-0.004392059210200001,0.015436388282779998,-0.002210492268
0_300_-10,0.0053168593919999995,0.06926299938000001,0.4258556329039999,-0.00798370166908,0.032220900054947994,-0.005228182086
10_360_5,0.43875250241999986,-0.20068811836000003,2.16430018122,-0.031711221473600004,0.126826176764,0.016383006577999997
0_360_0,0.024105058339999985,-0.008165140639999995,2.04442512732,-0.03070762511179999,0.13302626992720004,0.0004962255300000005
5_360_0,0.23869209530600002,0.006021901192000001,2.25822906094,-0.034106264973000004,0.14097121649999994,0.002131635354
5_180_-10,0.012547134799999995,0.020377638594,0.12846707321799997,-0.0026935995264000005,0.00975242168518,-0.0013964503563999998
10_240_-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
# Case,Cone Angle,Omega,Pitch Angle,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_240_-10,10,240,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_300_0,0,300,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_300_5,10,300,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_360_5,5,360,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_300_-5,0,300,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_180_-10,10,180,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_420_0,5,420,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_180_0,5,180,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_180_-10,0,180,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_300_5,5,300,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_420_-5,0,420,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_180_-5,10,180,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_420_0,10,420,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_420_5,0,420,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_360_0,10,360,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_240_5,5,240,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_300_-5,10,300,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_360_-10,0,360,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_420_5,10,420,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_360_-10,5,360,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_420_-5,5,420,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_240_5,10,240,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_180_5,0,180,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_240_5,0,240,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_180_0,10,180,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_420_-10,0,420,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_300_-10,10,300,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_300_0,5,300,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_360_-10,10,360,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_420_-5,10,420,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_180_-5,5,180,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_420_0,0,420,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_420_5,5,420,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_360_-5,0,360,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_360_-5,10,360,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_300_-10,5,300,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_240_0,5,240,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_360_5,0,360,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_420_-10,5,420,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_300_5,0,300,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_180_0,0,180,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_240_-5,5,240,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_300_0,10,300,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_180_5,5,180,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_180_-5,0,180,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_420_-10,10,420,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_240_-10,0,240,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_360_-5,5,360,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_240_-5,0,240,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_240_0,0,240,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_240_0,10,240,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_180_5,10,180,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_300_-5,5,300,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_240_-10,5,240,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_300_-10,0,300,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_360_5,10,360,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_360_0,0,360,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_360_0,5,360,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_180_-10,5,180,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_240_-5,10,240,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
